id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,lat,lon,street,zip_code,city,planning_area_id
10210260,Kita Notenhopser,+4930225054521,190,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,52.53289624999999,13.54192111362596,Murtzaner Ring 70 - 72,12681,Berlin,10100312
10210280,Kita Fuchtelzwerge,+493051488240,60,Kindertagesstätte,8273,Die Wuhlewanderer gGmbH,Sonstiger freier Träger,52.5052929,13.560878,Elsterwerdaer Platz 12683,12683,Berlin,10300733
10210300,Kita Kreuz und Quer,+4930992739714,85,Kindertagesstätte,5281,Deutsches Rotes Kreuz Kreisverband Berlin - Nordost e. V.,Sonstiger freier Träger,52.5526895,13.5585967,Sella-Hasse-Straße 19,12687,Berlin,10100208
10210310,Kita Irgendwie Anders,+49304627273,85,Kindertagesstätte,3995,"pad - präventive, altersübergreifende Dienste im sozialen Bereich - gGmbH",Sonstiger freier Träger,52.5641683,13.563984287944663,Flämingstraße 14,12689,Berlin,10100103
10210320,Kita Marzahner Chaussee,+4930766876920,120,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,52.5264638,13.5331282,Marzahner Chaussee 207,12681,Berlin,10100311
10210330,Kita Oberfeldstraße,+493052660473,65,Kindertagesstätte,8229,DETI gGmbH,Sonstiger freier Träger,52.5148476,13.5554567,Oberfeldstraße 190,12683,Berlin,10300731
10210350,Kita Spatzennest,+49305410398,195,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5320443,13.5438111,Langhoffstraße 17,12681,Berlin,10100312
10210370,Kita Schleusinger Straße,+493099273930,45,Kindertagesstätte,1316,KITA-Dialog gGmbH,Sonstiger freier Träger,52.557629,13.5655493,Schleusinger Straße 8,12687,Berlin,10100206
10210390,Kita Wuhlehopser,+493093664377,45,Kindertagesstätte,156,Arbeiterwohlfahrt Kreisverband Berlin Spree-Wuhle e.V.,Arbeiterwohlfahrt,52.5599223,13.5663645,Wuhletalstraße 70,12687,Berlin,10100206
10210410,Kita Am Stadtrand,+493091140811,40,Kindertagesstätte,3995,"pad - präventive, altersübergreifende Dienste im sozialen Bereich - gGmbH",Sonstiger freier Träger,52.5723062,13.5682111,Märkische Allee 414,12689,Berlin,10100102
10210420,Kindertagesstätte Märchenhaus,+493023588268,106,Kindertagesstätte,8501,Schwemler GmbH (haftungsbeschränkt),Sonstiger freier Träger,52.5506741,13.567542136951689,Rudolf-Leonhard-Straße 10,12679,Berlin,10100209
10210430,Kita Multitalent,+49309114010898377580,53,Kindertagesstätte,8503,Kita Multitalent gGmbH,Sonstiger freier Träger,52.54544735,13.552303283290158,Marzahner Promenade 42,12679,Berlin,10100210
10210440,Kita Die Senfkörner II,+493054431391,15,Kindertagesstätte,1378,Die Senfkörner e.V.,Sonstiger freier Träger,52.5282035,13.554041050310053,Otto-Nagel-Straße 57,12683,Berlin,10300731
10210450,Kita Igelgarten,+49305411422,45,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5218506,13.555916,Oberfeldstraße 38,12683,Berlin,10300731
10210460,Kita Kinderstube,+493023932279,54,Kindertagesstätte,8171,Westa e. V.,Sonstiger freier Träger,52.534701,13.5496599,Amanlisweg 8,12685,Berlin,10100314
10210470,Kita Traumland,+493040742111,47,Kindertagesstätte,7929,Gemeinnützige Interkultureller Start UG (haftungsbeschränkt),Sonstiger freier Träger,52.53467485,13.567607577197345,Fridolinweg 66,12683,Berlin,10300732
10210480,Kita Goldfischchen,+493093024101,105,Kindertagesstätte,8654,MILINA gUG,Sonstiger freier Träger,52.5497649,13.5649556,Jan-Petersen-Straße 18,12679,Berlin,10100209
10210500,Kita Kleine Kosmonauten,+493062189799,18,Kindertagesstätte,8770,ProGCHILD gGmbH,Sonstiger freier Träger,52.5276251,13.5433593,Allee der Kosmonauten 67,12681,Berlin,10100312
10210510,Kita Gartenkinder,+493023588104,29,Kindertagesstätte,8797,Inklusion Bildung und Soziales gemeinnützige GmbH,Sonstiger freier Träger,52.5338971,13.5729594,Irmfriedstraße 64,12683,Berlin,10300732
10210520,Kleiner Fratz,+493028505250,55,Kindertagesstätte,627,Kleiner Fratz GmbH,Sonstiger freier Träger,52.54544735,13.552303283290158,Marzahner Promenade 41,12679,Berlin,10100210
10210530,Kita Kleine Kapitäne Marzahn,+493054000456,60,Kindertagesstätte,8599,Kita Kleine Kapitäne gGmbH,Sonstiger freier Träger,52.5450637,13.575003,Prötzeler Ring 31,12679,Berlin,10100316
10210540,Kita Händchenklein,+49304656950,25,Kindertagesstätte,8841,Kita Händchenklein gUG,Sonstiger freier Träger,52.5686033,13.5726995,Havemannstraße 17,12689,Berlin,10100102
10210550,Gemeinschaftsunterkunft Bitterfelder Straße (FBO),+4930936692302,12,Eltern-Kind-Gruppe,1221,EJF gemeinnützige AG,Diakonisches Werk,52.5532203,13.5426619,Bitterfelder Straße 11,12681,Berlin,10100205
10210560,Kita Kienberg-Krabben,+493054973409,28,Kindertagesstätte,8712,KliB Kinder leben in Berlin gUG (haftungsbeschränkt),Sonstiger freier Träger,52.5370419,13.561678,Kienbergstraße 1,12685,Berlin,10100315
10210570,Gemeinschaftsunterkunft Paul-Schwenk-Straße (FBO),+49301763072400,12,Eltern-Kind-Gruppe,7464,EVENTUS-BILDUNG e.V.,Sonstiger freier Träger,52.5373465,13.534461797756762,Frank-Schweitzer-Straße 3,12681,Berlin,10100311
10210580,Kita Waldhäuschen,+49305143978,55,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,52.49014755,13.562891861810613,Schwabenallee 86,12683,Berlin,10300734
10210600,Kinderwelten Akaziengrund (FBO),+493017687837470,12,Eltern-Kind-Gruppe,3995,"pad - präventive, altersübergreifende Dienste im sozialen Bereich - gGmbH",Sonstiger freier Träger,52.5279006,13.5453679,Allee der Kosmonauten 77,12681,Berlin,10100312
10210620,Gemeinschaftsunterkunft Kokoschkastraße 4 (nur Sprachförderung),+493045950544,20,Kindertagesstätte,8568,Edusation - gemeinnützige Gesellschaft für Integration und Sprachförderung mbH,Sonstiger freier Träger,52.5373782,13.6066724,Kokoschkastraße 4,12627,Berlin,10200421
10210640,Kita Wuhleblick,+493040592077,85,Kindertagesstätte,1316,KITA-Dialog gGmbH,Sonstiger freier Träger,52.5266229,13.5746087,Cecilienstraße 184,12683,Berlin,10300732
10210650,Kita Reggio-Kinderhaus,+49309327018,195,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5649045,13.5663406,Wittenberger Straße 20,12689,Berlin,10100103
10210680,Evangelische Kita Schneckenhaus,+49305143916,55,Kindertagesstätte,223,Ev. Kirchengemeinde Biesdorf,Diakonisches Werk,52.5101299,13.5558958,Parkweg 8,12683,Berlin,10300733
10210690,Evangelischer Dorfkindergarten,+49308574866431,60,Kindertagesstätte,210,Ev. Kirchengemeinde Marzahn,Diakonisches Werk,52.54318185,13.562981540992348,Hinter der Mühle 5,12685,Berlin,10100313
10210720,Kita Kinderhaus Katz und Maus,+49309352060,200,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.545765,13.5464412,Basdorfer Straße 2,12679,Berlin,10100210
10210730,Kita Knirpsenhaus,+49309330912,190,Kindertagesstätte,1278,urban kita gGmbH,Sonstiger freier Träger,52.5462425,13.5614772,Raoul-Wallenberg-Straße 58,12679,Berlin,10100210
10210740,Kita Wuhlespatzen,+49305417075,195,Kindertagesstätte,121,Kindergärten NordOst,Eigenbetrieb,52.5234193,13.573192749581525,Zum Forsthaus 3,12683,Berlin,10300732
10210780,Humanistische Kita Knirpsenstadt am Glitzerbach,+49309339198,175,Kindertagesstätte,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",Sonstiger freier Träger,52.5689627,13.5612984,Geraer Ring 50,12689,Berlin,10100101
10210800,Kita Regenbogeninsel,+49309328119,240,Kindertagesstätte,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Sonstiger freier Träger,52.5536137,13.579836,Glambecker Ring 50,12679,Berlin,10100207
