id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,street,zip_code,city,lat,lon,planning_area_id
4091050,Kindergruppe Hasensprung,+49308263200,18,Eltern-Initiativ-Kindertagesstätte,727,Kindergruppe Hasensprung e.V.,EKT,Koenigsallee 35,14193,Berlin,52.4871726,13.2711348,04400728
4091070,Kinderladen Phönix,+49308738378,25,Eltern-Initiativ-Kindertagesstätte,966,Kinderladen Phönix e. V.,EKT,Pfalzburger Straße 9,10719,Berlin,52.4984125,13.3224773,04501044
4091080,Kita Homburger Straße,+4930897301190,156,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Homburger Straße 19,14197,Berlin,52.4739553,13.3157779,04400835
4091100,Kita Beerenkinder,+493089569229,39,Kindertagesstätte,8274,Beerenkinder Kindertagesstätten gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Johann-Georg-Straße 26,10709,Berlin,52.4957073,13.2988172,04500938
4091120,Girasole,+49308548466,32,Eltern-Initiativ-Kindertagesstätte,652,Girasole e.V.,EKT,Durlacher Straße 27,10715,Berlin,52.4806301,13.3309717,04501153
4091130,Pünktchen und Anton,+4930-8239774,40,Eltern-Initiativ-Kindertagesstätte,912,Elterninitiativ Kindertagesstätte Pünktchen und Anton e. V.,EKT,Cunostraße 1,14199,Berlin,52.4744226,13.2949948,04400832
4091150,Kita Orber Straße,+49308973797611,143,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Orber Straße 13,14193,Berlin,52.48922295,13.29632906951933,04400727
4091160,Kita Asilo Italiano,+49308623038,34,Kindertagesstätte,1204,Arbeitskreis praktische Pädagogik e. V.,Sonstiger freier Träger,Badensche Straße 29,10715,Berlin,52.4862449,13.3274958,04501150
4091180,Kita Düsseldorfer Straße,+4930231091680,110,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Düsseldorfer Straße 53,10707,Berlin,52.4965776,13.3145515,04501043
4091190,Kant-Kindergarten Bundesallee 186,+493085730164,85,Kindertagesstätte,701,Kant-Kindergarten gemeinnützige GmbH,Sonstiger freier Träger,Bundesallee 186,10717,Berlin,52.4889874,13.3313738,04501152
