id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon,planning_area_id
1030600,EKT - Stadtkinder,+493027018926,27,Reguläre Einrichtung,995,Stadtkinder e. V.,Grüntaler Str. 8,13357,52.5517606,13.3865162,01300733
1030610,Kleine Himmelswolke,+49304519130,21,Reguläre Einrichtung,785,Kleine Himmelswolke e.V.,Türkenstr. 5,13349,52.5539194,13.3485156,01400939
1030620,EKT Krümelbande,+493098430863,13,Reguläre Einrichtung,807,Eltern-Initiativ-Kindertagesstätte Krümelbande e. V.,Lütticher Str. 5,13353,52.5465561,13.3476372,01400942
1030640,EKT Tausendfüßler,+49304562624,19,Reguläre Einrichtung,1010,EIKITA Tausendfüßler e. V.,Amsterdamer Str. 12,13347,52.5513015,13.3572588,01401048
1030700,EKT - Pustebär,+49304533076,13,Reguläre Einrichtung,1039,Verein zur Förderung integrativer Erziehung e. V.,Sparrstr. 19,13353,52.5423972,13.3593020,01401047
1030710,"EKT - ""Eisbär""",+49304539038,15,Reguläre Einrichtung,1039,Verein zur Förderung integrativer Erziehung e. V.,Sparrstr. 20,13353,52.5422756,13.3594112,01401047
1030720,EKT - Tüte Mücken,+49304512076,60,Reguläre Einrichtung,1027,Tüte Mücken e.V.,Togostr. 78,13351,52.5493073,13.3470545,01400938
1030730,Pädag.Initiative EKT am Schillerpark,+49304514073,25,Reguläre Einrichtung,555,Pädagogische Initiative EKT am Schillerpark e.V.,Türkenstr. 14,13349,52.5550010,13.3495429,01400939
1030740,EKT - Kinderhütte Wiesenstraße,+49304659100,20,Reguläre Einrichtung,739,Kinderhütte Wiesenstraße e. V.,Wiesenstr. 28,13357,52.5487945,13.3717461,01401044
1030750,EKT Sparrbande,+49304533773,15,Reguläre Einrichtung,986,EKT Sparrbande e.V.,Sparrstr. 21,13353,52.5421424,13.3595327,01401047
1030760,Kita A13,+4930450812660,45,Reguläre Einrichtung,1211,Deutscher Kinderschutzbund Landesverband Berlin e. V.,Amsterdamer Str. 13,13347,52.5514706,13.3575224,01401048
1030770,Kinderhaus Kunterbunt,+49304622076,115,Reguläre Einrichtung,1260,Unionhilfswerk Sozialeinrichtungen gemeinnützige Gesellschaft mbH,Wiesenstr. 25,13357,52.5484727,13.3727949,01401044
1030780,Deutsch-Französische Kita/Kigä City,+49304528036,150,Reguläre Einrichtung,120,Kindergärten City,Afrikanische Str. 121,13351,52.5545432,13.3354079,01400937
1030800,EKT Jo Jo,+49304656455,26,Reguläre Einrichtung,693,Jo-Jo e.V.,Schwedenstr. 3A,13357,52.5551012,13.3760250,01401045
1030820,Kita Liebenwalder Str. 45/Kigä City,+49304620660,135,Reguläre Einrichtung,120,Kindergärten City,Liebenwalder Str. 45,13347,52.5518565,13.3614950,01401048
1030830,Wolke 7 gGmbH,+493015151391160,25,Reguläre Einrichtung,1075,Wolke 7 gemeinnützige Gesellschaft mbH,Sparrstr. 22,13353,52.5419994,13.3596619,01401047
1030870,EKT Omas Garten,+49304642085,62,Reguläre Einrichtung,882,Bürgerinitiative Omas Garten e.V.,Stralsunder Str. 7,13355,52.5403301,13.3958952,01300834
1030880,EKT - Villa Römer,+49304948878,32,Reguläre Einrichtung,1051,Villa Römer e. V.,Wollankstr. 61D,13359,52.5601798,13.3862485,01300731
1030900,Kita Exerzierstr. 32a/Kigä City,+49304925650,133,Reguläre Einrichtung,120,Kindergärten City,Exerzierstr. 32A,13357,52.5548793,13.3725741,01401045
1030910,EKT - Mauerspechte,+493046068040,18,Reguläre Einrichtung,842,Mauerspechte e.V.,Swinemünder Str. 64,13355,52.5476310,13.3943827,01300834
1030920,EKT - Doppelpünktchen,+49304556960,17,Reguläre Einrichtung,596,Doppelpünktchen e.V.,Oudenarder Str. 1B,13347,52.5535782,13.3653855,01401049
1030930,EKT - Klapperkiste,+493042075476,20,Reguläre Einrichtung,780,Klapperkiste e. V.,Soldiner Str. 33,13359,52.5593715,13.3843397,01300731
1030940,Montessori Kinderhaus,+49304536071,25,Reguläre Einrichtung,862,Maria Montessori Kinderwelten gGmbH,Edinburger Str. 39,13349,52.5562542,13.3474720,01400939
1030960,Kita Seestraße,+49304568087,71,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Seestr. 90,13347,52.5543795,13.3586470,01400940
1030970,EKT - Stadtkinder,+493027018926,30,Reguläre Einrichtung,995,Stadtkinder e. V.,Grüntaler Str. 12,13357,52.5522662,13.3871968,01300733
1030980,Kita Grüntaler Straße,+49304947163,130,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,Grüntaler Str. 34,13359,52.5556138,13.3928993,01300732
1030990,Kita Neue Hochstr. 44/Kigä City,+49304614047,135,Reguläre Einrichtung,120,Kindergärten City,Neue Hochstr. 44,13347,52.5396231,13.3753739,01300836
1031000,Groni-Weddinger Kinder- u.Jugendzentrum,+49304559012,25,Reguläre Einrichtung,1098,Weddinger Kinder- und Jugendzentrum e.V.,Malplaquetstr. 24,13347,52.5519863,13.3569132,01401048
1031010,Groni-Weddinger Kinder- u.Jugendzentrum,+49304562381,24,Reguläre Einrichtung,1098,Weddinger Kinder- und Jugendzentrum e.V.,Amsterdamer Str. 19B,13347,52.5505662,13.3555857,01401048
1031020,EKT - Auenland,+49304941526,40,Reguläre Einrichtung,532,Arbeitskreis Fidele Pädagogik e.V.,Zingster Str. 12,13357,52.5512342,13.3891270,01300733
1031040,Groni-Weddinger Kinder- u.Jugendzentrum - Malplaquet 37,+493080929277,22,Reguläre Einrichtung,1098,Weddinger Kinder- und Jugendzentrum e.V.,Malplaquetstr. 37,13347,52.5500959,13.3603128,01401048
1031050,Groni-Weddinger Kinder- u.Jugendzentrum,+49304558636,26,Reguläre Einrichtung,1098,Weddinger Kinder- und Jugendzentrum e.V.,Malplaquetstr. 10,13347,52.5502414,13.3606879,01401048
1031060,Kita Akila,+49304617000,25,Reguläre Einrichtung,1203,AKILA (Arbeiterkinderladen) e. V.,Antonstr. 19,13347,52.5478473,13.3650602,01401043
1031110,EKT - Waldorf-Kindergarten Berlin-Wedding,+49304648222,41,Reguläre Einrichtung,1057,Waldorf-Kindergarten Berlin-Wedding e.V.,Swinemünder Str. 65,13355,52.5476542,13.3937093,01300834
1031130,Kita/Kinder in Bewegung (KiB),+49304911515,135,Reguläre Einrichtung,1329,Kinder in Bewegung gGmbH Gemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports,Drontheimer Str. 23A,13359,52.5601283,13.3761093,01300730
1031140,EKT Wilde Wiese,+493041700033,50,Reguläre Einrichtung,1053,"Elternverein ""Wilde Wiese"" e. V.",Kurt-Schumacher-Damm 41,13405,52.5600853,13.3245745,01400937
1031150,Kita Putte,+49304933088,30,Reguläre Einrichtung,1265,Putte e.V. - Ausländer- und Sonderprojekt im Wedding -,Prinzenallee 24,13359,52.5565883,13.3850925,01300732
1031170,Kita Osloer Str. 105D/Kigä City,+493049308814,100,Reguläre Einrichtung,120,Kindergärten City,Osloer Str. 105D,13359,52.5548214,13.3811982,01401045
1031180,EKT - Die kleinen Chaoten,+493045803777,23,Reguläre Einrichtung,580,DIE KLEINEN CHAOTEN e.V.,Liebenwalder Str. 44,13347,52.5518458,13.3612387,01401048
1031190,EKT - Die Ministerne,+493017622342474,18,Reguläre Einrichtung,1126,EIKITA MINISTERNE e. V.,Sternstr. 9,13359,52.5651001,13.3900428,01300731
1031200,Ev. Kita am Humboldthain,+493046404161,70,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Gustav-Meyer-Allee 2,13355,52.5445091,13.3896668,01300835
1031220,EKT Bäumchen,+493084422358,20,Reguläre Einrichtung,1163,Bäumchen e. V.,Brüsseler Str. 38,13353,52.5463783,13.3492648,01400942
1031240,EKT Kleine Himmelswolke,+493051574771,20,Reguläre Einrichtung,785,Kleine Himmelswolke e.V.,Türkenstr. 20,13349,52.5543299,13.3485488,01400939
1031260,Kita Bunter Stern,+493046067089,45,Reguläre Einrichtung,1306,SEHstern e.V.,Tegeler Str. 6,13353,52.5389167,13.3605923,01300836
1031300,EKT - Stadtkinder,+493027018926,20,Reguläre Einrichtung,995,Stadtkinder e. V.,Grüntaler Str. 6,13357,52.5514775,13.3861268,01300733
1031310,Kita Nazarethkirchstraße,+493056977489,45,Reguläre Einrichtung,8324,KITA Nazar gemeinnützige GmbH,Nazarethkirchstr. 49,13347,52.5482170,13.3598091,01401048
1031320,Kita Augustenburger Platz,+493081799165,125,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,Augustenburger Platz 1,13353,52.5423322,13.3478401,01400938
1031330,Kita RoKoKids,+49304628728,30,Reguläre Einrichtung,1367,Ki.E.Ka. e.V.,Ofener Str. 4,13349,52.5559698,13.3451962,01400939
1031340,Kita phorminis,+4930467986315,160,Reguläre Einrichtung,7387,PHORMS Berlin gemeinnützige GmbH,Ackerstr. 76,13355,52.5385446,13.3843997,01300835
1031360,EKT Frischlinge,+49304538849,13,Reguläre Einrichtung,639,EIKITA Frischlinge e.V.,Tegeler Str. 44,13353,52.5400341,13.3582473,01401046
1031370,Kita Kinderparadies Wedding,+493065706645,84,Reguläre Einrichtung,8476,IBEB Initiative für Bildung und Erziehung Berlin gemeinnützige GmbH,Ackerstr. 104,13355,52.5398716,13.3805141,01300835
1031380,Kita Weiße Wolke,+493081799940,20,Reguläre Einrichtung,1408,Kita Weiße Wolke e.V.,Groninger Str. 32,13347,52.5536400,13.3619227,01401049
1031400,Kita Arcobaleno,+493050597358,36,Reguläre Einrichtung,1367,Ki.E.Ka. e.V.,Eulerstr. 19A,13357,52.5531451,13.3898713,01300733
1031420,Kita Ghislan,+493046061094,22,Reguläre Einrichtung,7421,Ghislan e.V.,Bastianstr. 21,13357,52.5508370,13.3813006,01300836
1031430,Kita Malplaquetstraße,+493050564222,30,Reguläre Einrichtung,7424,Kinderland Wedding e.V.,Malplaquetstr. 41,13347,52.5496301,13.3611487,01401048
1031450,Kita Paradiesvögel Genterstraße,+493017630724400,29,Reguläre Einrichtung,7464,eventus Bildung gGmbH,Genter Str. 24,13353,52.5457943,13.3565309,01400942
1031520,Schillerpark-Kita,+493025322324,20,Reguläre Einrichtung,1367,Ki.E.Ka. e.V.,Bristolstr. 19,13349,52.5591269,13.3500490,01400940
