latlon,planning_area_id
52.5211645_13.4541583,02500726
52.5160967_13.4484391,02400624
52.5149636_13.4465835,02400624
52.5207044_13.4329748,02400521
52.5076878_13.4605035,02500834
52.5134643_13.4534639,02500833
52.5188727_13.4505443,02400522
52.5093712_13.4638538,02500833
52.5147628_13.427020030668167,02400623
52.5154238_13.4449136,02400624
52.5082158_13.4536123,02500834
52.5119801_13.4486561,02400624
52.4947061_13.471360368965186,02500836
52.5179646_13.4627211,02500728
52.5021929_13.4564782,02500835
52.516442_13.4322564,02400623
52.5135881_13.4662607,02500831
52.518019_13.4652787,02500728
52.5175682_13.4577771,02500727
52.5100624_13.4624393,02500833
52.52528925_13.443181574901086,02400522
52.5187111_13.461462,02500727
52.5110211_13.4507133,02400624
52.5130209_13.4448672,02400624
52.5124867_13.4482708,02400624
52.5193542_13.4691876,02500728
52.5130311_13.4651679,02500831
52.5065604_13.4678496,02500834
52.5178731_13.4574074,02500727
52.5108307_13.4716335,02500832
52.5093628_13.4727233,02500832
52.5253268_13.4234267,02400520
52.50963_13.466936,02500831
52.4997928_13.4657314,02500835
52.5167217_13.4639107,02500728
52.5056323_13.4637945,02500834
52.52099_13.4465991,02400522
52.52551045_13.439369050665317,02400520
52.5151095_13.457688151561628,02500830
52.5190485_13.4595771,02500727
52.5180866_13.4548701,02500727
52.5122221_13.4508244,02400624
52.52516295_13.44264768299806,02400522
52.5190741_13.4541291,02500727
52.5125417_13.467252,02500831
52.4983351_13.462385,02500835
52.5113959_13.426650913475516,02400623
52.4958625_13.4751884,02500836
52.505879_13.461265,02500834
52.5256925_13.4533614,02500726
52.5060517_13.4610021,02500834
52.5190073_13.4678661,02500728
52.5084127_13.4700614,02500832
52.5129628_13.4630643,02500831
52.5069577_13.4409024,02400625
52.5135724_13.4652263,02500831
52.5086328_13.4557701,02500834
52.516147_13.4670428,02500728
52.5215811_13.4363921,02400521
52.5111919_13.4706909,02500832
52.4864182_13.385475759443649,02200209
52.4945399_13.4114443,02200213
52.5042631_13.4322184,02300316
52.49222015_13.440583513791832,02300418
52.4957177_13.381196688724891,02200208
52.49403485_13.392820519855412,02200210
52.50600335_13.42803318693182,02300316
52.49681565_13.425085778746976,02300417
52.5004227_13.404931050000004,02100105
52.4895734_13.4200726,02200212
52.494699_13.4126507,02200213
52.49214245_13.407624046938448,02200210
52.48881915_13.384613066031608,02200209
52.505487_13.38771199174408,02100102
52.4918745_13.400438300702245,02200210
52.4987001_13.4371166,02300419
52.4926995_13.4329822,02300418
52.4968295_13.4421952,02300419
52.488874_13.4179085,02200212
52.5002099_13.416992692271124,02300314
52.500502_13.4424306,02300419
52.4968776_13.443779,02300419
52.4859746_13.3924443,02200211
52.4891625_13.3755243,02200209
52.4950991_13.4267963,02300417
52.4946554_13.413637438155536,02200213
52.4901919_13.3938127,02200211
52.49617905_13.380780365654772,02200208
52.5004397_13.4070245,02100105
52.5042032_13.4150846,02300314
52.5037818_13.3791193,02100101
52.4952578_13.4319395,02300418
52.49289385_13.402710912385842,02200210
52.4911008_13.4058879,02200210
52.50015915_13.422498736309803,02300314
52.49895645_13.400281383823138,02100105
52.5023028_13.3979665,02100103
52.4893868_13.3907542,02200211
52.5014008_13.433673,02300315
52.493311_13.4197539,02200213
52.4943768_13.4106795,02200213
52.4966782_13.4103843,02100106
52.4908696_13.4213724,02200213
52.4973507_13.4438777,02300419
52.5196823_13.464143,02500728
52.4972318_13.4408345,02300419
52.4941242_13.4179095,02200213
52.4923636_13.437396241366564,02300418
52.4962525_13.4001987,02200210
52.4895404_13.414461909510509,02200212
52.4872067_13.397262176781329,02200211
52.4923895_13.3969356,02200210
52.4978178_13.3847117,02200208
52.48850565_13.419204212381754,02200212
52.4887667_13.3764764,02200209
52.500499_13.429546,02300315
52.49570555_13.42689059015649,02300417
52.496941_13.4429967,02300419
52.4886203_13.4138548,02200212
52.4987587_13.4365912,02300419
52.50067305_13.423610551536314,02300315
52.500813050000005_13.423785158578232,02300315
52.5045243_13.3954034,02100102
52.4912478_13.3850847,02200209
52.49021575_13.379597954378724,02200209
52.5032019_13.4259374,02300315
52.5029432_13.426663631063429,02300315
52.5020175_13.4296169,02300315
52.501251800000006_13.422897118372212,02300314
52.4869372_13.3914003,02200211
52.4876072_13.3965921,02200211
52.49972555_13.424374581292046,02300315
52.4951148_13.4170011,02200213
52.4930244_13.438319,02300418
52.4932887_13.4386426,02300418
52.4904767_13.391536,02200211
52.494673_13.4143382,02200213
52.4952699_13.4448821,02300419
52.4974266_13.4466473,02300419
52.50318315_13.422075836648006,02300314
52.4900646_13.3900277,02200211
52.4871184_13.3962852,02200211
52.497392_13.4445392,02300419
52.4891622_13.4094234,02200212
52.4959585_13.4343572,02300418
52.507903_13.4045484,01100312
52.50189635_13.419475352206732,02300314
52.50091765_13.417268518503963,02300314
52.5040002_13.4344997,02300316
52.49982405_13.42556015927599,02300315
52.4954128_13.4444527,02300419
52.4873182_13.3969958,02200211
52.5042222_13.43519,02300316
52.4876633_13.3742972,02200209
52.49325_13.3959475,02200210
52.50410105_13.412293034036995,02100104
52.4925126_13.3862846,02200209
52.487038_13.376389,02200209
52.4880143_13.3960345,02200211
52.503356_13.4175545,02300314
