combined_address,geometry,address
Hufelandweg 12 10117 Berlin,POINT (13.380964241396857 52.5105648),"Mall of Berlin, 12, Leipziger Platz, 10117, Leipziger Platz, Berlin, Deutschland"
An der Kieler Brücke 31 10115 Berlin,POINT (13.367572950691951 52.5359575),"Kita Wasserflöhe, 31, An der Kieler Brücke, 10115, An der Kieler Brücke, Berlin, Deutschland"
Schmidstraße 4 10179 Berlin,POINT (13.4188859 52.5094324),"4, Schmidstraße, 10179, Schmidstraße, Berlin, Deutschland"
Mauerstraße 29 10117 Berlin,POINT (13.3847786 52.5148954),"29, Mauerstraße, 10117, Mauerstraße, Berlin, Deutschland"
Bredowstraße 27 10551 Berlin,POINT (13.3398782 52.5319746),"27, Bredowstraße, 10551, Bredowstraße, Berlin, Deutschland"
Calvinstraße 16 10557 Berlin,POINT (13.3510394 52.520978),"16/17, Calvinstraße, 10557, Calvinstraße, Berlin, Deutschland"
Emdener Straße 11 10551 Berlin,POINT (13.334524009227742 52.529608999999994),"Kindergarten Emdener Straße, 11-13, Emdener Straße, 10551, Emdener Straße, Berlin, Deutschland"
Havelberger Straße 21 10559 Berlin,POINT (13.34652615914986 52.532693949999995),"Kindergarten Havelberger Straße, 21, Havelberger Straße, 10559, Havelberger Straße, Berlin, Deutschland"
Klopstockstraße 29 10557 Berlin,POINT (13.3402932 52.5175281),"29, Klopstockstraße, 10557, Klopstockstraße, Berlin, Deutschland"
Alt-Moabit 25 10559 Berlin,POINT (13.34981961573975 52.525030099999995),"Sankt-Johannis-Kirche, 25, Alt-Moabit, 10559, Alt-Moabit, Berlin, Deutschland"
Birkenstraße 60 10559 Berlin,POINT (13.3460867 52.5307571),"60, Birkenstraße, 10559, Birkenstraße, Berlin, Deutschland"
Pohlstraße 87 10785 Berlin,POINT (13.3611991 52.5013618),"87, Pohlstraße, 10785, Pohlstraße, Berlin, Deutschland"
Rathenower Straße 15 10559 Berlin,POINT (13.354702292069298 52.5285747),"Kita Rathenower Straße 15, 15, Rathenower Straße, 10559, Rathenower Straße, Berlin, Deutschland"
Ottostraße 16 10555 Berlin,POINT (13.335989345431994 52.52599755),"16, Ottostraße, 10555, Ottostraße, Berlin, Deutschland"
Rostocker Straße 32 10553 Berlin,POINT (13.326201207665864 52.53177839999999),"Stadtschloss Moabit, 32, Rostocker Straße, 10553, Rostocker Straße, Berlin, Deutschland"
Wikingerufer 9 10555 Berlin,POINT (13.330293830027294 52.522316000000004),"Erlöserkirche, 9, Wikingerufer, 10555, Wikingerufer, Berlin, Deutschland"
Holsteiner Ufer 12 10557 Berlin,POINT (13.3433762011076 52.521792500000004),"Kindergarten Holsteiner Ufer 12, 12, Holsteiner Ufer, 10557, Holsteiner Ufer, Berlin, Deutschland"
Paulstraße 20D 10557 Berlin,POINT (13.3559171 52.5189564),"20D, Paulstraße, 10557, Paulstraße, Berlin, Deutschland"
Bandelstraße 41 10559 Berlin,POINT (13.3495729 52.527144),"41, Bandelstraße, 10559, Bandelstraße, Berlin, Deutschland"
Kluckstraße 29 10785 Berlin,POINT (13.3614507 52.5026726),"29, Kluckstraße, 10785, Kluckstraße, Berlin, Deutschland"
Alt-Moabit 117 10559 Berlin,POINT (13.354500054874965 52.52346085),"Kindergarten Alt-Moabit 117, 117, Alt-Moabit, 10559, Alt-Moabit, Berlin, Deutschland"
Lützowstraße 83  10785 Berlin,POINT (13.3629927 52.5031196),"83, Lützowstraße, 10785, Lützowstraße, Berlin, Deutschland"
Turmstraße 71 10551 Berlin,POINT (13.3322956 52.526849),"71, Turmstraße, 10551, Turmstraße, Berlin, Deutschland"
Elberfelder Straße 18 10555 Berlin,POINT (13.335637309274183 52.52168245),"18, Elberfelder Straße, 10555, Elberfelder Straße, Berlin, Deutschland"
